id,user_id,anonymous_id,context_group_id,name,url,title,timestamp,received_at,sent_at,properties_title,properties_path,properties_url,properties_referrer,properties_search
page_001,,anon_003,,Home Page,/,Home Page,2026-01-03 07:55:00,2026-01-03 07:55:01,2026-01-03 07:55:00,Home Page,/,/,,
page_002,,anon_003,,Features,/features,Features,2026-01-03 07:58:00,2026-01-03 07:58:01,2026-01-03 07:58:00,Features,/features,/features,,
page_003,,anon_003,,Sign Up,/signup,Sign Up,2026-01-03 08:03:00,2026-01-03 08:03:01,2026-01-03 08:03:00,Sign Up,/signup,/signup,,
page_004,user_003,anon_003,account_001,Dashboard,/dashboard,Dashboard,2026-01-03 08:15:00,2026-01-03 08:15:01,2026-01-03 08:15:00,Dashboard,/dashboard,/dashboard,,
page_005,user_001,anon_001,account_001,Dashboard,/dashboard,Dashboard,2026-01-01 09:05:00,2026-01-01 09:05:01,2026-01-01 09:05:00,Dashboard,/dashboard,/dashboard,,
page_006,user_001,anon_001,account_001,Reports,/reports,Reports,2026-01-01 09:12:00,2026-01-01 09:12:01,2026-01-01 09:12:00,Reports,/reports,/reports,,
page_007,user_001,anon_001,account_001,Create Report,/reports/create,Create Report,2026-01-01 09:15:00,2026-01-01 09:15:01,2026-01-01 09:15:00,Create Report,/reports,/reports/create,,
page_008,user_002,anon_002,account_001,Dashboard,/dashboard,Dashboard,2026-01-02 10:05:00,2026-01-02 10:05:01,2026-01-02 10:05:00,Dashboard,/dashboard,/dashboard,,
page_009,user_002,anon_002,account_001,Settings,/settings,Settings,2026-01-02 10:08:00,2026-01-02 10:08:01,2026-01-02 10:08:00,Settings,/settings,/settings,,
page_010,user_004,anon_004,account_002,Dashboard,/dashboard,Dashboard,2026-01-05 11:00:00,2026-01-05 11:00:01,2026-01-05 11:00:00,Dashboard,/dashboard,/dashboard,,
page_011,user_004,anon_004,account_002,Projects,/projects,Projects,2026-01-05 11:05:00,2026-01-05 11:05:01,2026-01-05 11:05:00,Projects,/projects,/projects,,
page_012,user_004,anon_004,account_002,Create Project,/projects/create,Create Project,2026-01-05 11:10:00,2026-01-05 11:10:01,2026-01-05 11:10:00,Create Project,/projects,/projects/create,,
page_013,user_005,anon_005,account_002,Dashboard,/dashboard,Dashboard,2026-01-05 15:05:00,2026-01-05 15:05:01,2026-01-05 15:05:00,Dashboard,/dashboard,/dashboard,,
page_014,user_001,anon_001,account_001,Integrations,/integrations,Integrations,2026-01-06 10:00:00,2026-01-06 10:00:01,2026-01-06 10:00:00,Integrations,/integrations,/integrations,,
page_015,user_001,anon_001,account_001,API Setup,/integrations/api,API Setup,2026-01-06 10:05:00,2026-01-06 10:05:01,2026-01-06 10:05:00,API Setup,/integrations,/integrations/api,,
page_016,user_002,anon_002,account_001,Integrations,/integrations,Integrations,2026-01-06 11:00:00,2026-01-06 11:00:01,2026-01-06 11:00:00,Integrations,/integrations,/integrations,,
page_017,user_003,anon_003,account_001,Reports,/reports,Reports,2026-01-06 14:00:00,2026-01-06 14:00:01,2026-01-06 14:00:00,Reports,/reports,/reports,,
page_018,user_004,anon_004,account_002,Dashboard,/dashboard,Dashboard,2026-01-07 09:00:00,2026-01-07 09:00:01,2026-01-07 09:00:00,Dashboard,/dashboard,/dashboard,,
page_019,user_004,anon_004,account_002,Export Data,/export,Export Data,2026-01-07 09:25:00,2026-01-07 09:25:01,2026-01-07 09:25:00,Export Data,/export,/export,,
page_020,user_006,anon_006,account_003,Dashboard,/dashboard,Dashboard,2026-01-08 10:05:00,2026-01-08 10:05:01,2026-01-08 10:05:00,Dashboard,/dashboard,/dashboard,,
page_021,user_007,anon_007,account_003,Dashboard,/dashboard,Dashboard,2026-01-08 14:05:00,2026-01-08 14:05:01,2026-01-08 14:05:00,Dashboard,/dashboard,/dashboard,,
page_022,user_001,anon_001,account_001,Dashboard,/dashboard,Dashboard,2026-01-10 09:00:00,2026-01-10 09:00:01,2026-01-10 09:00:00,Dashboard,/dashboard,/dashboard,,
page_023,user_001,anon_001,account_001,Analytics,/analytics,Analytics,2026-01-10 09:25:00,2026-01-10 09:25:01,2026-01-10 09:25:00,Analytics,/analytics,/analytics,,
page_024,user_002,anon_002,account_001,Dashboard,/dashboard,Dashboard,2026-01-10 10:00:00,2026-01-10 10:00:01,2026-01-10 10:00:00,Dashboard,/dashboard,/dashboard,,
page_025,user_004,anon_004,account_002,Dashboard,/dashboard,Dashboard,2026-01-12 11:00:00,2026-01-12 11:00:01,2026-01-12 11:00:00,Dashboard,/dashboard,/dashboard,,
page_026,user_005,anon_005,account_002,Dashboard,/dashboard,Dashboard,2026-01-12 15:00:00,2026-01-12 15:00:01,2026-01-12 15:00:00,Dashboard,/dashboard,/dashboard,,
page_027,user_006,anon_006,account_003,Dashboard,/dashboard,Dashboard,2026-01-13 10:00:00,2026-01-13 10:00:01,2026-01-13 10:00:00,Dashboard,/dashboard,/dashboard,,
page_028,user_001,anon_001,account_001,Reports,/reports,Reports,2026-01-15 09:00:00,2026-01-15 09:00:01,2026-01-15 09:00:00,Reports,/reports,/reports,,
page_029,user_001,anon_001,account_001,View Report,/reports/123,View Report,2026-01-15 09:12:00,2026-01-15 09:12:01,2026-01-15 09:12:00,View Report,/reports,/reports/123,,
page_030,user_002,anon_002,account_001,Dashboard,/dashboard,Dashboard,2026-01-15 10:00:00,2026-01-15 10:00:01,2026-01-15 10:00:00,Dashboard,/dashboard,/dashboard,,
page_031,user_003,anon_003,account_001,Dashboard,/dashboard,Dashboard,2026-01-15 14:00:00,2026-01-15 14:00:01,2026-01-15 14:00:00,Dashboard,/dashboard,/dashboard,,
page_032,user_004,anon_004,account_002,Projects,/projects,Projects,2026-01-16 09:00:00,2026-01-16 09:00:01,2026-01-16 09:00:00,Projects,/projects,/projects,,
page_033,user_004,anon_004,account_002,Team,/team,Team,2026-01-16 09:25:00,2026-01-16 09:25:01,2026-01-16 09:25:00,Team,/team,/team,,
page_034,user_008,anon_008,account_002,Dashboard,/dashboard,Dashboard,2026-01-17 11:05:00,2026-01-17 11:05:01,2026-01-17 11:05:00,Dashboard,/dashboard,/dashboard,,
page_035,user_006,anon_006,account_003,Dashboard,/dashboard,Dashboard,2026-01-18 10:00:00,2026-01-18 10:00:01,2026-01-18 10:00:00,Dashboard,/dashboard,/dashboard,,
page_036,user_007,anon_007,account_003,Dashboard,/dashboard,Dashboard,2026-01-18 14:00:00,2026-01-18 14:00:01,2026-01-18 14:00:00,Dashboard,/dashboard,/dashboard,,
page_037,user_001,anon_001,account_001,Dashboard,/dashboard,Dashboard,2026-01-20 09:00:00,2026-01-20 09:00:01,2026-01-20 09:00:00,Dashboard,/dashboard,/dashboard,,
page_038,user_001,anon_001,account_001,Billing,/billing,Billing,2026-01-20 09:25:00,2026-01-20 09:25:01,2026-01-20 09:25:00,Billing,/billing,/billing,,
page_039,user_002,anon_002,account_001,Dashboard,/dashboard,Dashboard,2026-01-20 10:00:00,2026-01-20 10:00:01,2026-01-20 10:00:00,Dashboard,/dashboard,/dashboard,,
page_040,user_004,anon_004,account_002,Dashboard,/dashboard,Dashboard,2026-01-22 09:00:00,2026-01-22 09:00:01,2026-01-22 09:00:00,Dashboard,/dashboard,/dashboard,,
page_041,user_008,anon_008,account_002,Dashboard,/dashboard,Dashboard,2026-01-22 11:00:00,2026-01-22 11:00:01,2026-01-22 11:00:00,Dashboard,/dashboard,/dashboard,,
page_042,user_006,anon_006,account_003,Dashboard,/dashboard,Dashboard,2026-01-23 10:00:00,2026-01-23 10:00:01,2026-01-23 10:00:00,Dashboard,/dashboard,/dashboard,,
page_043,user_001,anon_001,account_001,Dashboard,/dashboard,Dashboard,2026-01-25 09:00:00,2026-01-25 09:00:01,2026-01-25 09:00:00,Dashboard,/dashboard,/dashboard,,
page_044,user_002,anon_002,account_001,Dashboard,/dashboard,Dashboard,2026-01-25 10:00:00,2026-01-25 10:00:01,2026-01-25 10:00:00,Dashboard,/dashboard,/dashboard,,
page_045,user_003,anon_003,account_001,Dashboard,/dashboard,Dashboard,2026-01-25 14:00:00,2026-01-25 14:00:01,2026-01-25 14:00:00,Dashboard,/dashboard,/dashboard,,
page_046,user_004,anon_004,account_002,Dashboard,/dashboard,Dashboard,2026-01-27 09:00:00,2026-01-27 09:00:01,2026-01-27 09:00:00,Dashboard,/dashboard,/dashboard,,
page_047,user_005,anon_005,account_002,Dashboard,/dashboard,Dashboard,2026-01-27 15:00:00,2026-01-27 15:00:01,2026-01-27 15:00:00,Dashboard,/dashboard,/dashboard,,
page_048,user_008,anon_008,account_002,Dashboard,/dashboard,Dashboard,2026-01-27 11:00:00,2026-01-27 11:00:01,2026-01-27 11:00:00,Dashboard,/dashboard,/dashboard,,
page_049,user_006,anon_006,account_003,Dashboard,/dashboard,Dashboard,2026-01-28 10:00:00,2026-01-28 10:00:01,2026-01-28 10:00:00,Dashboard,/dashboard,/dashboard,,
